konveksi,kodebarang,namabarang,deskripsi,hargamodal,dailyprice,anama,alink,bnama,blink,cnama,clink,dnama,dlink,aclick1,aclick2,aclick3,bclick1,bclick2,bclick3,cclick1,cclick2,cclick3,dclick1,dclick2,dclick3
TATA,D5034,GLADYS,D5034 GLADYS,17100,20500,DOMMO,https://shopee.co.id/-LOKAL--D5034-FLATSHOES-GLADYS-Flatshoes-Wanita-i.135900627.7729748458?sp_atk=fea46f51-8715-4cfe-838d-23a8dafbe240,DAFFA WAHYU,https://shopee.co.id/MH-14-SENDAL-TEPLEK-i.8938041.2834863946?sp_atk=eb252ada-a6c4-4060-a5e9-f9716e1605f2,JURAGAN SEPATU,https://shopee.co.id/MH-14-SANDAL-TALI-TEPLEK-GELADIS-i.10123774.7938143267?sp_atk=0c5a7a74-a79c-4a96-b50c-7448caf1cf28,,,,,,,,,,,,,,
TATA,D5035,TYAS,D5035 TYAS,17100,20500,DOMMO,https://shopee.co.id/-LOKAL--D5035-FLATSHOES-TYAS-Flatshoes-Wanita-i.135900627.3329850315?sp_atk=d0bad470-b384-429c-810e-45ea7abd0cd9,DAFFA WAHYU,https://shopee.co.id/RS-23-FLATSHOES-BLINK-BLINK-i.8938041.4113897915?sp_atk=8cb440f5-36a3-4c62-a4cf-56bfa5469baa,JURAGAN SEPATU,,,,,,,,,,,,,,,
TATA,D5036,FLATSHOES LEMON,D5036 FLATSHOES LEMON,17100,20500,DOMMO,https://shopee.co.id/-LOKAL--D5036-FLATSHOES-LEMON-MONA-Flatshoes-Wanita-i.135900627.7829776154?sp_atk=6349f640-6111-4b03-8dcf-aeab506f3b98,DAFFA WAHYU,,JURAGAN SEPATU,,,,,,,,,,,,,,,
TATA,D5037,HAK TAHU LILIT,D5037 HAK TAHU LILIT,26100,34100,DOMMO,https://shopee.co.id/-LOKAL--D5037-HIGH-HILLS-HAK-TAHU-LILIT-morymony-i.135900627.4729787082?sp_atk=6d7f3238-e04b-48ff-8456-57d8d2233a83,DAFFA WAHYU,https://shopee.co.id/D-47-HAK-TAHU-FENOMELAN-i.8938041.1659897509?sp_atk=6df85a94-aa01-4a5d-b01f-52322ee9952c,JURAGAN SEPATU,,,,,,,,,,,,,,,
TATA,D5038,HAK TAHU JAZZ,D5038 HAK TAHU JAZZ,23400,28000,DOMMO,https://shopee.co.id/-LOKAL--D5038-HIGH-HILLS-HAK-TAHU-JAZZ-i.135900627.7629829683?sp_atk=11076609-fd54-4aea-a525-61efe02c8425,DAFFA WAHYU,https://shopee.co.id/Ad02-high-hills-hak-tahu-casual-i.8938041.101776300?sp_atk=7dd60776-4c4f-4f81-8bf7-2cc77b419026,JURAGAN SEPATU,https://shopee.co.id/AG-03-high-hills-hak-tahu-casual-i.10123774.4654302521?sp_atk=a8b7bd57-704c-4240-a3c2-32c9a8f6ca7b,,,,,,,,,,,,,,
TATA,D5057,SNEAKER NOVI,D5057 SNEAKER NOVI,32200,44900,DOMMO,https://shopee.co.id/-LOKAL--D5057-Sepatu-NOVI-SNEAKERS-RAA-09-i.135900627.6039099931?sp_atk=2e2bb9c4-eaa2-43c1-addf-fd153aa2133e,DAFFA WAHYU,,JURAGAN SEPATU,,,,,,,,,,,,,,,
TATA,D5039,DIANA PR 6 FLATSHOES,D5039 DIANA PR 06 FLATSHOES,17100,20999,DOMMO,https://shopee.co.id/-LOKAL--D5039-DIANA-PR-06-FLATSHOES-i.135900627.7331736031?sp_atk=487ced04-19fe-44aa-b37c-93c92c9dd297,DAFFA WAHYU,https://shopee.co.id/PR-06-SLIP-ON-BEST-SELLER-i.8938041.5113898616?sp_atk=b9dc4ffb-9694-4be9-b7b5-158e5180b75d,JURAGAN SEPATU,https://shopee.co.id/Sepatu-Wanita-Slip-on-PR-06-i.10123774.6248491047?sp_atk=1e3321ab-b75b-40e1-8476-a2ac1a839b11,,,,,,,,,,,,,,
TATA,D5053,HELLS KACA,D5053 HELLS KACA,31050,35999,DOMMO,https://shopee.co.id/product/135900627/6239091395/,DAFFA WAHYU,,JURAGAN SEPATU,,,,,,,,,,,,,,,
TATA,D5054,GREAT,D5054 GREAT,35100,43000,DOMMO,https://shopee.co.id/-LOKAL--D5054-SEPATU-GREAT-RAA-16-SNEAKERS-i.135900627.4439098375?sp_atk=af4e391d-f0a6-4a51-9809-256aa5bf9681,DAFFA WAHYU,,JURAGAN SEPATU,,,,,,,,,,,,,,,
TATA,D5055,THALIA,D5055 THALIA,30600,36900,DOMMO,https://shopee.co.id/-LOKAL--D5055-SEPATU-SNEAKERS-WANITA-THALIA-TRENDY-CASUAL-DV-104-i.135900627.5739092005?sp_atk=3d94d5cd-c2c0-4d90-834e-9abc4c9062af,DAFFA WAHYU,,JURAGAN SEPATU,,,,,,,,,,,,,,,
